name,fips,county,state
"Alamosa County, Colorado, United States",8003,Alamosa County,Colorado
"Arapahoe County, Colorado, United States",8005,Arapahoe County,Colorado
"Archuleta County, Colorado, United States",8007,Archuleta County,Colorado
"Baca County, Colorado, United States",8009,Baca County,Colorado
"Bent County, Colorado, United States",8011,Bent County,Colorado
"Boulder County, Colorado, United States",8013,Boulder County,Colorado
"Broomfield County, Colorado, United States",8014,Broomfield County,Colorado
"Chaffee County, Colorado, United States",8015,Chaffee County,Colorado
"Cheyenne County, Colorado, United States",8017,Cheyenne County,Colorado
"Clear Creek County, Colorado, United States",8019,Clear Creek County,Colorado
"Conejos County, Colorado, United States",8021,Conejos County,Colorado
"Costilla County, Colorado, United States",8023,Costilla County,Colorado
"Crowley County, Colorado, United States",8025,Crowley County,Colorado
"Custer County, Colorado, United States",8027,Custer County,Colorado
"Delta County, Colorado, United States",8029,Delta County,Colorado
"Denver County, Colorado, United States",8031,Denver County,Colorado
"Dolores County, Colorado, United States",8033,Dolores County,Colorado
"Douglas County, Colorado, United States",8035,Douglas County,Colorado
"Eagle County, Colorado, United States",8037,Eagle County,Colorado
"Elbert County, Colorado, United States",8039,Elbert County,Colorado
"El Paso County, Colorado, United States",8041,El Paso County,Colorado
"Fremont County, Colorado, United States",8043,Fremont County,Colorado
"Garfield County, Colorado, United States",8045,Garfield County,Colorado
"Gilpin County, Colorado, United States",8047,Gilpin County,Colorado
"Grand County, Colorado, United States",8049,Grand County,Colorado
"Gunnison County, Colorado, United States",8051,Gunnison County,Colorado
"Hinsdale County, Colorado, United States",8053,Hinsdale County,Colorado
"Huerfano County, Colorado, United States",8055,Huerfano County,Colorado
"Jackson County, Colorado, United States",8057,Jackson County,Colorado
"Jefferson County, Colorado, United States",8059,Jefferson County,Colorado
"Kiowa County, Colorado, United States",8061,Kiowa County,Colorado
"Kit Carson County, Colorado, United States",8063,Kit Carson County,Colorado
"Lake County, Colorado, United States",8065,Lake County,Colorado
"La Plata County, Colorado, United States",8067,La Plata County,Colorado
"Larimer County, Colorado, United States",8069,Larimer County,Colorado
"Las Animas County, Colorado, United States",8071,Las Animas County,Colorado
"Lincoln County, Colorado, United States",8073,Lincoln County,Colorado
"Logan County, Colorado, United States",8075,Logan County,Colorado
"Mesa County, Colorado, United States",8077,Mesa County,Colorado
"Mineral County, Colorado, United States",8079,Mineral County,Colorado
