fips,zip,pop_prop,hrrnum,cbsa_id,population,state_id
47163,37664,0.161482088,376.0,28700.0,25570.365670624,tn
47163,37665,0.033935426,376.0,28700.0,5373.606836248,tn
47163,37686,0.049639587,375.0,28700.0,7860.329322275999,tn
47163,37694,0.011841298,375.0,28700.0,1875.045855704,tn
47165,37022,0.039002669,380.0,34980.0,7460.547534326999,tn
47165,37031,0.025294795,380.0,34980.0,4838.464271985,tn
47165,37048,0.039201509,380.0,34980.0,7498.582246047001,tn
47165,37066,0.30324831399999996,380.0,34980.0,58006.247246861996,tn
47165,37075,0.39239469,380.0,34980.0,75058.43348727,tn
47165,37148,0.144502088,380.0,34980.0,27640.792898904,tn
47165,37186,0.056355935,380.0,34980.0,10779.932314605001,tn
47167,38004,0.178200866,379.0,32820.0,10976.995144734,tn
47167,38011,0.165457842,379.0,32820.0,10192.037609358,tn
47167,38015,0.036852356,379.0,32820.0,2270.068277244,tn
47167,38019,0.268258285,379.0,32820.0,16524.442097715,tn
47167,38023,0.11836405800000001,379.0,32820.0,7291.107608742001,tn
47167,38049,0.06871831,379.0,32820.0,4232.97917769,tn
47167,38058,0.16414828199999998,379.0,32820.0,10111.370022918,tn
47169,37074,1.0,380.0,34980.0,11284.0,tn
47171,37650,0.66159244,375.0,27740.0,11831.257604519998,tn
47171,37657,0.056080584,375.0,27740.0,1002.8890836720001,tn
47171,37692,0.282326976,375.0,27740.0,5048.853311808,tn
47173,37779,0.20137270100000002,377.0,28940.0,4021.815584372,tn
47173,37807,0.695286195,377.0,28940.0,13886.25588654,tn
47173,37866,0.103341103,377.0,28940.0,2063.928509116,tn
47175,38585,1.0,380.0,,5872.0,tn
47177,37110,0.775070028,380.0,,31992.565545756002,tn
47177,37357,0.13195611599999998,380.0,,5446.752600131999,tn
47177,37394,0.002054155,380.0,,84.78935593499999,tn
47177,38581,0.09091970099999999,380.0,,3752.8924981769997,tn
47179,37601,0.269720293,375.0,27740.0,34895.062906875,tn
47179,37604,0.268473813,375.0,27740.0,34733.799556875,tn
47179,37614,0.014582317,375.0,27740.0,1886.587261875,tn
47179,37615,0.16383705699999998,375.0,27740.0,21196.419249374998,tn
47179,37659,0.209258494,375.0,27740.0,27072.81766125,tn
47179,37681,0.045466491,375.0,27740.0,5882.227273125,tn
47179,37690,0.028661536,375.0,27740.0,3708.08622,tn
