fips,pop
33001,61398
33003,48745
33005,75880
33007,31421
33009,90369
33011,417738
33013,151606
33015,309647
33017,130716
33019,43263
34001,263653
34003,932256
34005,446160
34007,506503
34009,92247
34011,148995
34013,802162
34015,291842
34017,674030
34019,125201
34021,368047
34023,824394
34025,619687
34027,491577
34029,607498
34031,501838
34033,62341
34035,329998
34037,140710
34039,556664
34041,105455
35001,679425
35003,3507
35005,64586
35006,26681
35007,12068
35009,49083
35011,1741
35013,218864
35015,58394
35017,26941
35019,4278
35021,636
35023,4203
35025,71123
35027,19730
35028,19383
35029,23775
35031,71478
35033,4490
35035,67572
35037,8243
35039,38883
35041,18501
35043,147045
35045,124027
35047,27337
35049,150951
35051,10886
35053,16613
35055,32752
35057,15442
35059,4043
35061,76953
36001,304752
36003,45915
36005,1418187
36007,190737
36009,76230
36011,76450
36013,126636
36015,83404
36017,47234
36019,80031
36021,59582
36023,47410
36025,44356
36027,293934
36029,918813
36031,36987
36033,50102
36035,53336
36037,57414
36039,47211
36041,4438
36043,61356
36045,110143
36047,2562329
36049,26329
36051,62893
36053,70875
36055,742605
36057,49355
36059,1356073
36061,1632326
36063,209563
36065,228240
36067,460870
36069,109984
36071,384950
36073,40351
36075,116934
36077,59347
36079,98511
36081,2253942
36083,158981
36085,476141
36087,326352
36089,107766
36091,229635
36093,155548
36095,31052
36097,17812
36099,34189
36101,95328
36103,1478325
36105,75551
36107,48221
36109,101971
36111,177933
36113,63980
36115,61168
36117,89816
36119,968467
36121,39858
36123,24902
37001,169173
37003,37417
37005,11134
37007,23538
37009,27215
37011,17496
37013,47096
37015,18962
37017,32864
37019,142987
37021,262049
37023,90424
37025,216340
37027,82275
37029,10770
37031,69513
37033,22590
37035,159363
37037,74419
37039,28708
37041,13917
37043,11277
37045,97964
37047,55452
37049,102031
37051,336524
37053,27916
37055,37071
37057,168238
37059,42699
37061,58802
37063,322969
37065,51429
37067,382118
37069,69775
37071,224652
37073,11536
37075,8470
37077,60358
37079,20915
37081,537872
37083,50074
37085,136172
37087,62510
37089,117347
37091,23642
37093,55166
37095,4932
37097,181866
37099,43736
37101,209786
37103,9339
37105,61772
37107,56074
37109,86627
37111,45784
37113,35729
37115,21638
37117,22451
37119,1113283
37121,14928
37123,27209
37125,101167
37127,94258
37129,234275
37131,19498
37133,202795
37135,148192
37137,12650
37139,39970
37141,63046
37143,13578
37145,39621
37147,181257
37149,20723
37151,143495
37153,44764
37155,130440
37157,91118
37159,141818
37161,67031
37163,63372
37165,34776
37167,62645
37169,45634
37171,71741
37173,14312
37175,34270
37177,3813
37179,240028
37181,44670
37183,1112795
37185,19692
37187,11635
37189,56271
37191,123904
37193,68296
37195,81775
37197,37617
37199,18059
38001,2227
38003,10414
38005,6837
38007,937
38009,6292
38011,3036
38013,2131
38015,95816
38017,182238
38019,3734
38021,4851
38023,2244
38025,4412
38027,2241
38029,3235
38031,3217
38033,1762
38035,69670
38037,2272
38039,2218
38041,2521
38043,2481
38045,4049
38047,1851
38049,5753
38051,2473
38053,15038
38055,9440
38057,8228
38059,31301
38061,10507
38063,2856
38065,1951
38067,6754
38069,3997
38071,11488
38073,5217
38075,2324
38077,16187
38079,14271
38081,3950
38083,1295
38085,4259
38087,754
38089,31483
38091,1900
38093,20695
38095,2166
38097,8037
38099,10574
38101,68449
38103,3794
38105,37897
39001,27640
39003,102450
39005,53418
39007,97088
39009,65582
39011,45610
39013,66979
39015,43473
39017,383603
39019,26984
39021,38930
39023,134315
39025,206851
39027,42002
39029,101794
39031,36549
39033,41396
39035,1235574
39037,51181
39039,37978
39041,209768
39043,74179
39045,157703
39047,28486
39049,1318766
39051,42175
39053,29850
39055,93494
39057,169354
39059,38876
39061,818653
39063,75690
39065,31369
39067,15053
39069,26942
39071,43123
39073,28240
39075,44021
39077,58269
39079,32372
39081,65494
39083,62239
39085,229739
39087,59556
39089,177174
39091,45594
39093,310100
39095,428888
39097,44812
39099,227510
39101,65057
39103,180121
39105,22868
39107,41255
39109,106995
39111,13708
39113,532139
39115,14505
39117,35342
39119,86042
39121,14451
39123,40532
39125,18672
39127,36127
39129,58521
39131,27784
39133,162426
39135,40848
39137,33843
39139,121384
39141,76613
39143,58520
39145,75051
39147,55220
39149,48592
39151,370723
39153,540814
39155,198069
39157,91993
39159,59054
39161,28231
39163,13028
39165,235601
39167,60018
39169,115824
39171,36765
39173,131089
39175,21796
40001,22224
40003,5664
40005,13738
40007,5308
40009,21834
40011,9457
40013,48089
40015,28927
40017,148635
40019,48328
40021,48819
40023,14642
40025,2148
40027,284537
40029,5511
40031,121224
40033,5650
40035,14110
40037,71362
40039,28913
40041,43011
40043,4896
40045,3865
40047,61332
40049,27687
40051,55764
40053,4328
40055,5698
40057,2645
40059,3707
40061,12670
40063,13240
40065,24431
40067,5988
40069,11055
40071,43668
40073,15899
40075,8725
40077,10044
40079,49804
40081,34939
40083,48084
40085,10177
40087,40466
40089,32748
40091,19595
40093,7630
40095,16946
40097,41136
40099,14081
40101,68097
40103,11168
40105,10123
40107,11956
40109,797563
40111,38417
40113,46942
40115,31180
40117,16379
40119,81683
40121,43673
40123,38352
40125,72703
40127,11030
40129,3593
40131,92616
40133,24321
40135,41599
40137,43258
40139,20216
40141,7260
40143,652166
40145,81466
40147,51665
40149,10943
40151,8790
40153,20138
41001,16123
41003,93114
41005,418199
41007,40208
41009,52614
41011,64677
41013,24388
41015,22981
41017,197417
41019,110926
41021,1911
