zip,pop
06750,1372
06751,3396
06752,1647
06754,1613
06755,1075
06756,2708
06757,2143
06758,336
06759,5431
06762,7493
06763,1930
06770,31688
06776,25531
06777,1645
06778,1308
06779,7903
06782,2255
06783,2115
06784,3786
06785,651
06786,9368
06787,7572
06790,34639
06791,5379
06793,1082
06794,1011
06795,13429
06796,958
06798,9479
06801,19118
06804,16941
06807,7356
06810,50912
06811,32307
06812,14282
06820,21331
06824,34879
06825,21733
06830,24721
06831,15219
06840,20308
06850,18600
06851,27474
06853,3751
06854,29941
06855,8120
06856,3
06870,7527
06877,25390
06878,8275
06880,27417
06883,10473
06890,4430
06896,9373
06897,18593
06901,7025
06902,65238
06903,14918
06905,20216
06906,9350
06907,9276
07001,16611
07002,66819
07003,48217
07004,7582
07005,15255
07006,25286
07008,23272
07009,12648
07010,24300
07011,39757
07012,11717
07013,27083
07014,5190
07016,23461
07017,36633
07018,28864
07020,11857
07021,2131
07022,14249
07023,7588
07024,36410
07026,31469
07027,4382
07028,7763
07029,16989
07030,53010
07031,15852
07032,43129
07033,8206
07034,9351
07035,10597
07036,43522
07039,29919
07040,24333
07041,6999
07042,26088
07043,12363
07044,13844
07045,10118
07046,4190
07047,64425
07050,30649
07052,47065
07054,29279
07055,69899
07057,11674
07058,5367
07059,15570
07060,46313
07062,13407
07063,13971
07064,3792
07065,28357
07066,15301
07067,18374
07068,5930
07069,6261
07070,18601
07071,21169
07072,6310
07073,9179
07074,2789
07075,7854
07076,24348
07077,2817
07078,13503
07079,16628
07080,23815
07081,16392
07082,5379
07083,55014
07086,13308
07087,70513
07088,3739
07090,31460
07092,6978
07093,64543
07094,17241
07095,20216
07102,12819
07103,33323
07104,51444
07105,47882
07106,31897
07107,38370
07108,24852
07109,36584
07110,28892
07111,54974
07112,26922
07114,15030
07201,27234
07202,42359
07203,21864
07204,13788
07205,22189
07206,27621
07208,32373
07302,38537
07304,43711
07305,63716
07306,55834
07307,46445
07310,13609
07311,553
07401,6688
07403,7612
07405,17685
07407,19983
07410,33428
07416,5441
07417,10896
07418,2116
07419,8621
07420,4947
07421,7418
07422,6226
07423,4200
07424,26253
07430,26664
07432,7341
07435,2405
07436,13135
07438,11551
07439,2311
07440,4490
07442,11110
07444,11036
07446,14917
07450,25732
07452,11948
07456,12225
07457,3555
07458,11699
07460,3272
07461,18412
07462,6480
07463,9902
07465,6251
07470,54782
07480,16141
07481,17216
07501,33583
07502,15424
07503,18745
07504,12897
07505,2258
07506,18813
07508,22627
07512,10816
07513,11521
07514,18310
07522,20907
07524,12724
07601,44297
07603,8431
07604,12196
07605,9217
07606,2379
07607,9840
07608,69
07620,1904
07621,27561
07624,8623
07626,8792
07627,5027
07628,17954
07630,7599
07631,27930
07632,5467
07640,4803
07641,3483
07642,10512
07643,10943
07644,24858
07645,8066
07646,16830
07647,5306
07648,5901
07649,8216
07650,20187
07652,27130
07656,8928
07657,11362
07660,13109
07661,11679
07662,5695
07663,14067
07666,40966
07670,15009
07675,27127
07676,9346
07677,5901
07701,23375
07702,3738
07703,677
07704,6020
07711,1504
07712,38438
07716,8416
07717,1866
07718,6147
07719,21142
07720,4219
07721,2921
07722,10021
07723,1001
07724,21311
07726,41726
07727,6920
07728,55223
07730,17076
07731,37600
07732,5093
07733,16539
07734,13025
07735,19288
07737,4185
07738,5982
07739,5828
07740,30467
07746,18322
07747,30598
07748,27514
07750,3218
07751,19373
07753,36863
07755,6246
07756,3280
07757,5257
07758,4875
07760,9112
07762,8248
07764,7948
07801,25363
07803,3647
07820,37
07821,8675
07822,834
07823,7332
07825,9253
07826,5816
07827,3994
07828,14137
07830,6332
07832,3780
07833,152
07834,17706
07836,12556
07838,3455
07840,29119
07842,129
07843,11521
07846,86
07847,1668
07848,4730
07849,9043
07850,6430
07851,112
07852,3605
07853,13313
07856,3940
07857,3241
07860,24755
07863,4195
07865,2132
07866,22078
07869,25268
07870,25
07871,19920
07874,8383
07876,10609
07878,933
07880,185
07881,15
07882,14035
07885,10069
07901,23649
07920,27197
07921,7750
07922,12698
07924,7661
07926,119
07927,3400
07928,19127
07930,8551
07931,3337
07932,9859
07933,3248
07934,1526
07935,312
07936,11147
07939,231
07940,17262
07945,9530
07946,3141
07950,19546
