safegraph_brand_id,brand_name,parent_safegraph_brand_id,naics_code,top_category,sub_category,stock_symbol,stock_exchange
SG_BRAND_144bf6e93b2a9180,Allegro,"",722511,Restaurants and Other Eating Places,Full-Service Restaurants,"",""
SG_BRAND_4959b9c7b6ef23e4dd6392edae9a968c,Allen Edmonds,"",448210,Shoe Stores,Shoe Stores,"",""
SG_BRAND_224cd064261102fa,Alliance Bank Minnesota,"",522110,Depository Credit Intermediation,Commercial Banking,"",""
SG_BRAND_b9732f6e7c8c8f49,Alliance Urgent Care,"",621493,Outpatient Care Centers,Freestanding Ambulatory Surgical and Emergency Centers,"",""
SG_BRAND_b1548d44966c9ff54d6228dd280e752e,Allied Building Products,SG_BRAND_1b2818c0478264ea,423310,Lumber and Other Construction Materials Merchant Wholesalers,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",BECN,NASDAQ
SG_BRAND_47846c6a01657407153655f2f0506f55,Allied Cash Advance,"",522291,Nondepository Credit Intermediation,Consumer Lending,"",""
SG_BRAND_3e364569d3cba1e3,Allied Dental,"",621210,Offices of Dentists,Offices of Dentists,"",""
SG_BRAND_2b42b6e3326b00bf,Allina Health,"",621111,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"",""
SG_BRAND_214ff0a1160dd989,AllSaints,"",448140,Clothing Stores,Family Clothing Stores,"",""
SG_BRAND_5a9e6695c8055aeb6c210e6bfb45d6b5,Allstate Insurance,"",524210,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,ALL,NYSE
SG_BRAND_4c5d9138d9303e105b26178be842275e,Allsup's,"",445120,Grocery Stores,Convenience Stores,"",""
SG_BRAND_f539f9dedcf133c96f08baca718c9fa8,Alltel,"",517312,Wired and Wireless Telecommunications Carriers,Wireless Telecommunications Carriers (except Satellite),"",""
SG_BRAND_eea773e3cd25f00a,Alo Yoga,"",448190,Clothing Stores,Other Clothing Stores,"",""
SG_BRAND_232e3a254ee6887688ed8957d9068679,Aloft Hotels,SG_BRAND_02f92da3a9b57d43,721110,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,MAR,NASDAQ
SG_BRAND_7975b2f7c429df3c,Aloha Petroleum,"",812111,Personal Care Services,Barber Shops,"",""
SG_BRAND_da84065c579e60ad,Aloha Poke,"",722513,Restaurants and Other Eating Places,Limited-Service Restaurants,"",""
SG_BRAND_f5edb995de0f09b9ee3f9045be82afcb,ALON,"",447110,Gasoline Stations,Gasoline Stations with Convenience Stores,"",""
SG_BRAND_a87468d01e929f7b6f3b52165af9a144,Alphagraphics,"",323117,Printing and Related Support Activities,Books Printing,"",""
SG_BRAND_a5b802a6900398,Alt Hotels,"",721110,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,"",""
SG_BRAND_716bfdab184fc881,Alta Convenience,"",445120,Grocery Stores,Convenience Stores,"",""
SG_BRAND_7c5cecad9d417901def8c96e22e85abf,Alta Mere,"",811122,Automotive Repair and Maintenance,Automotive Glass Replacement Shops,"",""
SG_BRAND_fb55f793ae6f3aa03333de50d261bbc3,Altar'd State,"",448120,Clothing Stores,Women's Clothing Stores,"",""
